date,value,source,units,fetched_at
2006-12,69.74078,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2007-01,70.22897,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2007-02,70.93126,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2007-03,70.71846,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2007-04,70.64774,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2007-05,70.85969,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2007-06,71.14313,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2007-07,71.78342,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2007-08,72.64481,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2007-09,72.86275,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2007-10,73.08134,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2007-11,73.59291,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2007-12,74.32883,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2008-01,75.22079,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2008-02,77.17652,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2008-03,76.63628,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2008-04,76.71292,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2008-05,76.40607,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2008-06,76.25326,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2008-07,76.32951,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2008-08,76.25318,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2008-09,76.25318,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2008-10,76.02442,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2008-11,75.41623,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2008-12,75.2654,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2009-01,75.94279,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
