date,value,source,units,fetched_at
2006-08,71.97,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2006-09,76.342,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2006-10,64.298,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2006-11,72.926,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2006-12,73.097,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2007-01,70.726,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2007-02,58.358,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2007-03,76.686,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2007-04,80.76,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2007-05,71.644,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2007-06,76.469,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2007-07,83.347,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2007-08,86.224,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2007-09,88.263,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2007-10,80.547,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2007-11,91.203,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2007-12,91.723,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2008-01,90.23,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2008-02,79.13,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2008-03,95.8,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2008-04,102.39,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2008-05,100.77,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2008-06,100.47,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2008-07,111.412,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2008-08,105.999,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2008-09,106.792,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2008-10,92.748,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2008-11,74.657,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2008-12,72.046,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2009-01,51.375,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2009-02,60.058,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2009-03,71.886,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2009-04,78.987,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2009-05,75.689,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2009-06,87.54,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2009-07,95.15,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2009-08,88.243,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2009-09,103.199,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2009-10,86.848,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2009-11,94.691,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2009-12,112.349,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2010-01,95.517,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2010-02,87.11,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2010-03,119.465,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2010-04,118.434,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2010-05,112.213,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2010-06,117.153,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2010-07,116.888,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2010-08,119.475,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2010-09,128.356,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2010-10,109.107,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2010-11,130.97,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2010-12,141.466,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2011-01,144.591,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2011-02,104.27,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2011-03,152.31,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2011-04,144.37,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2011-05,144.12,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2011-06,139.7,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2011-07,145.02,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2011-08,155.39,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2011-09,154.99,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2011-10,140.23,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2011-11,159.77,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2011-12,158.02,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2012-01,122.813,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2012-02,146.394,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2012-03,160.395,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2012-04,144.581,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2012-05,162.863,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2012-06,148.199,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2012-07,151.629,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2012-08,151.467,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2012-09,158.696,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2012-10,143.448,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2012-11,159.776,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2012-12,167.805,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2013-01,159.156,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2013-02,124.45,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2013-03,183.059,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2013-04,168.619,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2013-05,162.16,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2013-06,146.979,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2013-07,168.16,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2013-08,162.321,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2013-09,170.556,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2013-10,154.341,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2013-11,168.39,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2013-12,182.165,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2014-01,175.138,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2014-02,136.846,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2014-03,162.257,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2014-04,169.98,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2014-05,159.537,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2014-06,155.2238,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2014-07,165.59,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2014-08,158.6294,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2014-09,182.6355,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2014-10,161.4612,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2014-11,156.9665,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2014-12,177.9007,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2015-01,140.561,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2015-02,108.485,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2015-03,141.719,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2015-04,142.701,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2015-05,131.646,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2015-06,144.347,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2015-07,151.292,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2015-08,136.473,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2015-09,145.317,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2015-10,130.903,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2015-11,142.616,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2015-12,163.506,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2016-01,112.591,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2016-02,93.633,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2016-03,130.313,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2016-04,126.998,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2016-05,130.996,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2016-06,131.447,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2016-07,132.051,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2016-08,138.601,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2016-09,142.503,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2016-10,128.42,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2016-11,149.317,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2016-12,168.595,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2017-01,131.89,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2017-02,129.5,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2017-03,156.38,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2017-04,141.49,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2017-05,149.23,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2017-06,153.56,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2017-07,146.69,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2017-08,157.09,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2017-09,169.57,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2017-10,150.81,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2017-11,177.17,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2017-12,177.112,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2018-01,180.142,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2018-02,137.63,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2018-03,179.1,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
2018-04,171.65,oecd,"Monthly imports, USD current prices",2026-04-08T19:20:26+00:00
